Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,8.7%,108.4%,-63.5%,-48.0%,382.8%,-11.0%,-48.4%,4970.5%,10.6%,27.8%,46.2%,24.8%,43.5%,4970.5%,24.2%,32.9%,4.6%,2.8%,79.8%,12.2%,21.9%
,Panel 5,,14.7%,-26.2%,-27.8%,-33.0%,-52.8%,28.6%,33.1%,-62.4%,-27.0%,3.0%,-12.1%,-7.4%,10.2%,-62.4%,-12.6%,2.0%,-10.2%,-11.0%,3.8%,8.2%,116.6%
,Panel 5,,38.2%,135.5%,-66.0%,-9.1%,22.7%,-37.5%,-8.2%,460.1%,21.1%,73.3%,-23.2%,34.5%,-59.7%,460.1%,16.9%,-21.3%,38.3%,25.1%,-28.9%,22.5%,-27.6%
,Panel 5,,0.1%,9.4%,10.2%,-2.3%,4.2%,-2.1%,25.3%,-3.5%,3.2%,5.6%,2.9%,2.7%,5.2%,-3.5%,3.9%,4.0%,5.4%,3.6%,6.3%,4.4%,1.9%
,Panel 5,,134.7%,,34.8%,8.0%,69.4%,-100.0%,47.0%,,37.0%,-42.5%,-100.0%,,-38.7%,,-40.8%,93.9%,32.8%,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,6662.4%,174.1%,,,
,Panel 5,,0.8%,-6.6%,6.8%,-14.6%,-3.8%,-14.3%,41.0%,-37.7%,-6.4%,-1.4%,-1.9%,-6.1%,-1.3%,-37.7%,-3.4%,-2.6%,0.5%,0.3%,0.5%,-1.4%,-4.8%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,9.8%,10.3%,-1.9%,4.2%,-1.8%,24.6%,-2.2%,3.4%,5.6%,2.9%,2.7%,5.2%,-2.2%,3.9%,4.0%,5.4%,3.5%,6.4%,4.7%,2.2%
,Panel 5,,78.2%,58.8%,20.7%,19.1%,63.4%,16.6%,111.3%,9.9%,30.7%,84.4%,79.2%,131.1%,148.3%,9.9%,61.0%,139.2%,113.8%,96.5%,108.8%,-16.3%,-16.9%
,Panel 5,,5.4%,50.2%,36.1%,15.6%,16.0%,-0.6%,58.0%,24.4%,20.1%,18.6%,4.1%,4.1%,19.1%,24.4%,14.6%,9.3%,4.2%,12.2%,33.8%,14.8%,2.4%
,Panel 5,,13.4%,-5.7%,-68.5%,-2.3%,69.0%,-36.0%,-73.2%,73.5%,-8.9%,-7.0%,-5.6%,44.5%,-0.4%,73.5%,-7.0%,6.4%,27.7%,-5.8%,29.1%,0.8%,-15.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,7.0%,-26.7%,12.8%,3.9%,-7.5%,10.1%,-19.3%,-40.3%,6.0%,-13.8%,0.6%,-7.1%,-8.0%,-40.3%,-3.1%,-10.1%,-12.4%,-8.4%,-7.1%,-4.1%,-4.6%
,Panel 3,0.97,5.9%,2.1%,9.4%,5.5%,11.2%,-3.9%,6.9%,-21.5%,10.6%,7.6%,2.6%,16.4%,10.1%,-13.3%,16.5%,10.6%,13.5%,18.8%,27.0%,26.5%,24.3%
,Panel 5,1.66,1.6%,-6.0%,-13.5%,-14.5%,-5.3%,-1.6%,-7.8%,-9.5%,-8.7%,2.2%,4.9%,5.1%,7.0%,9.8%,8.3%,6.7%,7.7%,9.9%,12.7%,18.3%,14.9%
,Panel 1,0.70,1.0%,8.1%,-8.8%,4.0%,19.2%,-13.4%,-20.8%,17.7%,-1.0%,-4.6%,1.3%,-5.4%,4.2%,2.5%,-1.4%,-0.4%,3.7%,4.0%,15.0%,14.0%,11.3%
,Panel 5,,1.2%,-6.0%,-10.9%,-12.3%,-5.0%,-0.8%,-7.2%,-14.0%,-7.2%,4.2%,6.4%,7.9%,8.9%,8.7%,10.4%,9.1%,12.4%,17.4%,18.3%,22.7%,16.4%
,Panel 5,,105.4%,-12.8%,-63.7%,-50.2%,-41.3%,-67.5%,-52.3%,-38.6%,-52.8%,-55.7%,-59.1%,116.6%,-27.3%,-38.6%,-56.4%,49.0%,91.0%,157.7%,183.8%,59.7%,55.8%
,Panel 1,,4.2%,-11.6%,8.8%,-4.4%,12.4%,8.6%,13.9%,-6.7%,3.7%,-6.1%,-7.1%,-8.5%,-13.4%,-0.9%,-8.6%,-12.7%,-7.6%,-0.2%,4.4%,-2.4%,-2.2%
,Panel 5,,2.5%,-13.1%,-11.7%,-18.9%,-23.4%,-9.7%,-9.3%,-23.5%,-16.6%,-16.5%,-8.2%,-9.9%,-7.0%,-17.0%,-8.8%,-11.4%,-11.8%,-16.7%,-10.8%,-7.1%,-2.4%
,Panel 5,,1.1%,11.8%,12.9%,11.2%,27.3%,11.5%,-15.0%,-37.1%,16.1%,-1.1%,2.1%,12.8%,2.8%,7.9%,3.5%,4.6%,-14.8%,-35.8%,-35.5%,-40.1%,-32.8%
,Panel 5,,0.3%,-2.5%,-1.1%,-13.8%,-31.5%,0.5%,14.2%,-2.5%,-12.7%,-22.2%,-29.8%,-28.7%,-19.1%,-15.7%,-27.3%,-27.0%,-22.3%,-16.8%,-5.4%,-10.2%,-2.5%
,Panel 5,,2.1%,8.1%,16.9%,15.1%,9.4%,25.0%,6.1%,-7.6%,15.1%,6.2%,0.1%,-2.4%,-1.9%,10.6%,-1.8%,0.3%,5.2%,-2.7%,15.6%,16.8%,17.3%
,Panel 5,,6.7%,3.2%,7.9%,-11.3%,-18.1%,3.7%,46.0%,10.0%,-5.9%,-10.4%,-8.3%,-9.3%,-8.6%,-7.8%,-8.5%,-1.8%,-8.8%,-15.5%,-24.2%,-28.5%,-23.4%
,Panel 5,0.71,9.2%,11.0%,9.0%,10.5%,43.3%,-1.0%,13.4%,14.1%,-2.6%,4.8%,0.1%,-4.1%,-7.3%,11.0%,4.3%,-4.9%,-5.5%,4.1%,1.2%,-3.2%,-5.3%
,Panel 1,,5.5%,-11.4%,-24.8%,16.4%,68.2%,4.6%,-4.5%,9.9%,-13.9%,16.2%,-6.4%,-8.9%,-4.9%,-11.4%,2.8%,-2.7%,-7.1%,-8.2%,0.8%,-11.1%,-12.5%
,Panel 5,,17.2%,-59.0%,-13.7%,-5.9%,-40.8%,62.4%,-26.9%,-7.9%,-7.3%,-40.4%,-17.7%,-40.5%,-13.0%,-59.0%,-14.4%,-31.5%,31.6%,-38.3%,-21.7%,-34.0%,-51.5%
,Panel 5,,8.0%,25.3%,19.1%,12.3%,61.7%,-5.6%,3.6%,19.6%,-2.7%,10.3%,5.2%,0.3%,-3.7%,25.3%,7.5%,-0.5%,-3.4%,9.3%,6.5%,-3.5%,-3.1%
,Panel 5,,13.1%,,,,,103.6%,,103.6%,-89.4%,-32.1%,-74.2%,232.6%,-68.7%,,-47.9%,-34.8%,41.4%,-10.4%,438.2%,-10.5%,-44.5%
,Panel 5,,14.2%,-24.6%,-26.8%,33.3%,-19.2%,60.6%,42.8%,0.8%,-12.8%,-22.6%,-26.0%,-28.1%,-28.2%,-24.6%,-13.6%,-27.9%,-25.7%,-16.7%,-15.6%,-9.7%,-22.1%
,Panel 5,,8.5%,-6.5%,-11.9%,-3.6%,-11.8%,3.7%,90.8%,-6.3%,3.2%,-3.1%,-6.8%,-9.3%,-12.0%,-6.5%,-2.0%,-10.4%,-11.1%,-3.1%,-12.8%,-10.1%,-15.9%
,Panel 1,,5.5%,-11.4%,-24.8%,16.4%,68.2%,4.6%,-4.5%,9.9%,-13.9%,16.2%,-6.4%,-8.9%,-4.9%,-11.4%,2.8%,-2.7%,-7.1%,-8.2%,2.2%,-5.4%,-4.6%
,Panel 3,1.70,1.4%,0.9%,3.4%,2.0%,9.5%,18.0%,3.3%,7.3%,-3.4%,1.4%,1.5%,4.0%,1.6%,2.5%,1.0%,-1.0%,6.2%,10.1%,4.5%,7.7%,-0.6%
,Panel 1,,0.6%,1.2%,-7.2%,0.0%,3.2%,18.5%,11.7%,4.5%,-3.8%,-2.4%,-1.7%,0.2%,-1.1%,-2.0%,-1.4%,-3.9%,0.2%,-2.6%,-3.4%,0.6%,-5.2%
,Panel 5,4.18,0.3%,1.8%,0.5%,1.1%,5.1%,21.9%,10.4%,7.0%,-3.5%,-0.4%,-1.2%,2.6%,1.1%,0.2%,-0.1%,-1.8%,2.6%,8.1%,1.1%,3.6%,-0.7%
,Panel 5,,31.9%,-3.0%,-1.3%,56.5%,14.8%,287.9%,39.0%,69.6%,4.4%,-9.4%,-3.8%,-12.4%,-8.6%,23.4%,-8.5%,-2.5%,6.1%,6.4%,9.6%,11.1%,12.9%
,Panel 5,,14.0%,-78.8%,-100.0%,-94.8%,-97.0%,-100.0%,-100.0%,-96.3%,-99.2%,-93.1%,-67.0%,-91.2%,-93.4%,-98.6%,-84.6%,-55.6%,-21.5%,0.1%,16.6%,44.7%,69.1%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.2%,1.8%,0.5%,1.1%,4.9%,21.7%,10.4%,6.9%,-3.4%,-0.3%,-1.2%,2.7%,1.2%,0.2%,0.0%,-1.8%,2.7%,8.0%,0.9%,3.4%,-0.8%
,Panel 5,,0.7%,53.1%,1.7%,-31.2%,71.4%,-25.7%,-34.4%,-1.7%,-24.6%,-18.2%,-13.1%,-13.4%,-18.0%,-15.1%,-14.4%,-7.6%,-22.3%,-9.0%,-4.2%,-7.9%,8.4%
,Panel 1,2.48,0.6%,1.2%,-7.2%,0.0%,3.2%,18.5%,11.7%,4.5%,-3.8%,-2.4%,-1.7%,0.2%,-1.1%,-2.0%,-1.4%,-3.9%,0.2%,-2.6%,-3.4%,0.6%,-5.2%
,Panel 5,,0.0%,-16.1%,50.2%,84.3%,42.0%,31.1%,37.1%,37.4%,32.4%,37.4%,24.6%,36.8%,22.0%,35.7%,27.6%,15.7%,20.4%,20.2%,25.2%,40.4%,69.5%
,Panel 5,,0.0%,200.4%,128.6%,63.6%,176.5%,192.4%,65.8%,139.6%,268.4%,233.4%,301.4%,527.3%,548.2%,203.1%,414.7%,,,,,,
,Panel 5,,0.0%,15.1%,80.8%,11.4%,23.6%,8.5%,44.8%,35.5%,22.0%,23.6%,30.7%,40.4%,42.5%,26.4%,37.6%,52.6%,45.2%,6.7%,-0.5%,-16.3%,-17.2%
,Panel 5,,0.0%,-26.8%,44.7%,96.6%,39.6%,29.1%,35.4%,33.8%,28.3%,34.6%,18.9%,30.9%,15.1%,32.2%,21.4%,7.8%,6.0%,6.8%,12.7%,29.1%,67.6%
,Panel 3,1.91,14.0%,-7.3%,9.9%,3.6%,-38.9%,10.4%,2.7%,-5.4%,-16.2%,4.9%,10.0%,0.7%,4.9%,-9.3%,4.7%,6.3%,-0.3%,-2.9%,-11.2%,8.6%,1.6%
,Panel 5,2.43,9.8%,-11.8%,22.1%,-11.7%,-0.9%,-22.8%,9.8%,-3.9%,-15.1%,3.0%,5.6%,-1.5%,-7.4%,-7.9%,1.9%,-1.5%,4.8%,-2.0%,-11.2%,9.9%,0.8%
,Panel 1,,3.1%,-19.9%,29.0%,18.9%,-4.4%,-26.1%,-4.8%,3.5%,-23.4%,-15.4%,23.0%,-14.7%,-4.2%,-6.6%,-3.5%,-0.5%,-3.9%,-0.9%,-5.6%,12.5%,6.9%
,Panel 5,,10.9%,31.8%,24.9%,-39.8%,-11.8%,-20.3%,44.2%,-9.8%,-14.7%,10.3%,-15.3%,3.1%,-1.8%,-11.7%,-0.8%,-10.8%,-9.5%,-6.9%,-6.3%,-10.9%,6.0%
,Panel 5,,4.1%,-13.9%,21.7%,-9.9%,-0.3%,-22.7%,8.3%,-3.4%,-15.2%,-3.9%,0.7%,-6.3%,-12.4%,-7.6%,-3.5%,-7.0%,-0.8%,-7.5%,-11.2%,9.8%,0.8%
,Panel 5,,55.1%,-57.6%,713.3%,-51.0%,-27.8%,-100.0%,-100.0%,-43.1%,-51.5%,-3.3%,270.6%,-13.6%,-34.3%,-44.2%,11.0%,-15.0%,-17.7%,-35.5%,-50.5%,35.3%,-7.8%
,Panel 1,0.97,7.3%,-19.9%,29.0%,18.9%,-4.4%,-26.1%,-4.8%,3.5%,-23.3%,-11.9%,28.9%,-10.9%,0.6%,-6.6%,0.8%,5.3%,-0.1%,3.2%,-6.2%,13.4%,8.7%
,Panel 3,1.50,13.0%,2.6%,-18.7%,-22.5%,-10.2%,-9.0%,-24.8%,36.4%,-9.6%,-9.3%,-15.2%,8.4%,-3.0%,36.4%,-11.8%,1.3%,-9.3%,-3.9%,6.9%,8.0%,16.0%
,Panel 1,1.47,4.2%,-11.6%,-27.1%,-15.5%,5.0%,-32.1%,-2.2%,-32.5%,-12.3%,-1.3%,-13.0%,8.7%,-10.1%,-32.5%,-9.4%,-5.2%,9.5%,14.0%,8.6%,15.4%,0.1%
,Panel 5,2.26,0.9%,-13.3%,-23.1%,-0.3%,4.0%,-3.9%,-17.6%,4.5%,-6.0%,-0.8%,0.9%,7.4%,-5.4%,4.5%,-1.7%,-0.8%,3.4%,8.5%,4.7%,10.5%,6.4%
,Panel 5,,0.5%,-5.9%,-9.8%,7.0%,13.0%,-3.5%,11.7%,-12.6%,1.5%,-1.1%,-1.7%,0.7%,-1.0%,-12.6%,-0.6%,-1.0%,-0.2%,0.4%,1.4%,2.4%,3.1%
,Panel 5,,15.2%,1798.5%,634.3%,284.9%,714.0%,65.7%,-61.0%,234.6%,250.6%,102.6%,216.6%,311.2%,46.9%,234.6%,178.9%,163.7%,4836.8%,,,,
,Panel 5,,23.8%,-61.6%,1.6%,-48.2%,27.4%,-15.7%,22.1%,-91.9%,-23.5%,36.6%,-16.6%,-21.7%,-41.7%,-91.9%,-3.1%,-27.0%,-18.3%,-10.3%,0.6%,43.6%,15.2%
,Panel 5,,0.3%,-13.4%,2.9%,-20.2%,68.1%,-10.7%,-27.2%,42.0%,1.7%,-19.2%,-17.5%,-7.9%,12.1%,42.0%,-12.8%,-12.5%,0.5%,5.6%,17.7%,62.5%,81.0%
,Panel 5,,3.6%,-11.9%,-21.7%,12.7%,2.8%,-13.9%,-3.3%,-18.6%,-5.7%,-7.6%,-8.3%,-3.9%,-2.0%,-18.6%,-7.4%,-3.8%,-4.8%,-8.4%,-3.9%,-1.4%,-0.4%
,Panel 5,,2.9%,-13.4%,-14.4%,-7.4%,5.0%,-11.0%,9.4%,-29.4%,-5.5%,-8.8%,-1.0%,-4.7%,-11.1%,-29.4%,-4.9%,-7.8%,0.5%,-2.4%,0.9%,4.3%,0.9%
,Panel 5,,0.5%,-9.5%,-9.0%,1.0%,7.4%,2.5%,13.4%,-15.2%,-0.7%,0.0%,-4.6%,1.2%,-3.2%,-15.2%,-2.1%,-2.6%,-1.8%,0.4%,-1.9%,-1.5%,1.7%
,Panel 5,,2.1%,-6.8%,-8.7%,20.4%,12.2%,-13.0%,-0.3%,-18.7%,0.8%,-5.0%,-4.4%,-7.1%,-3.9%,-18.7%,-3.2%,-5.3%,-3.7%,-1.2%,1.5%,4.3%,6.1%
,Panel 5,,50.6%,-5.9%,5.6%,-15.6%,56.3%,-10.3%,-32.1%,-8.0%,5.3%,-27.7%,10.9%,26.0%,104.3%,-8.0%,-1.9%,48.7%,15.8%,8.0%,19.9%,1.1%,7.8%
,Panel 5,,0.6%,1.2%,-4.7%,8.5%,20.1%,-5.4%,13.4%,-11.1%,6.4%,0.4%,1.7%,5.3%,2.1%,-11.1%,2.8%,3.4%,1.8%,-0.1%,2.1%,1.7%,0.2%
,Panel 5,,18.0%,33.7%,28.2%,60.6%,41.5%,24.8%,54.4%,23.7%,38.6%,31.1%,40.3%,24.7%,25.9%,23.7%,36.8%,18.9%,23.2%,39.0%,33.6%,53.8%,53.3%
,Panel 5,,2.7%,-7.2%,-13.2%,-1.6%,18.1%,4.6%,17.3%,13.8%,0.3%,-0.7%,-0.8%,6.3%,0.1%,13.8%,-0.5%,2.2%,0.6%,12.7%,6.5%,1.2%,8.2%
,Panel 5,,11.4%,119.6%,128.6%,229.0%,133.9%,171.5%,130.8%,137.9%,150.8%,117.9%,145.0%,85.1%,151.3%,137.9%,137.3%,125.9%,140.5%,312.1%,427.5%,853.2%,
,Panel 5,,15.2%,-26.0%,-46.0%,11.3%,-2.3%,35.5%,73.6%,22.7%,-12.8%,11.9%,-0.9%,-7.5%,28.3%,22.7%,-1.0%,14.2%,6.1%,-5.1%,10.4%,-14.5%,-14.7%
,Panel 5,,0.0%,3.9%,3.6%,-1.8%,8.1%,4.1%,26.5%,0.1%,1.5%,-0.3%,4.8%,4.8%,11.7%,1.5%,2.9%,18.7%,14.9%,3.7%,-3.3%,-13.0%,-10.7%
,Panel 5,,0.0%,-5.5%,56.7%,104.8%,13.8%,96.0%,-24.7%,-93.5%,55.6%,9.5%,70.3%,63.6%,58.8%,53.5%,43.6%,94.1%,148.6%,92.2%,68.3%,-1.1%,-35.4%
,Panel 5,,0.0%,24.1%,-4.0%,66.4%,10.3%,43.7%,-9.4%,-62.1%,32.5%,-10.5%,6.8%,2.7%,16.5%,28.2%,-0.4%,30.7%,42.9%,15.5%,17.4%,-27.8%,-10.5%
,Panel 5,,0.0%,3.6%,3.0%,-4.3%,7.9%,1.2%,28.6%,5.5%,0.0%,-0.3%,3.4%,3.9%,11.0%,0.0%,2.2%,17.5%,12.8%,2.3%,-4.5%,-12.7%,-10.3%
,Panel 1,,0.0%,-7.6%,-8.7%,-18.4%,15.7%,5.0%,10.3%,4.7%,-4.2%,-7.8%,-3.7%,-2.1%,3.1%,-3.0%,-4.8%,8.8%,1.4%,-8.0%,-13.4%,-18.9%,-13.5%
,Panel 3,,0.0%,0.3%,9.3%,-10.1%,7.0%,-0.6%,9.5%,3.8%,1.9%,-4.5%,-5.0%,15.6%,8.3%,2.0%,0.8%,11.6%,9.4%,-4.0%,-8.0%,-10.5%,-10.4%
,Panel 5,,2.9%,22.3%,8.2%,-14.3%,-2.9%,-6.3%,6.8%,265.4%,-5.4%,-12.0%,-3.3%,-8.5%,-11.7%,8.9%,-6.8%,-9.7%,-5.8%,-5.4%,-19.4%,-9.1%,-4.9%
,Panel 5,,2.5%,22.2%,8.1%,-14.7%,-3.4%,-6.8%,6.0%,265.4%,-5.8%,-12.4%,-4.0%,-8.6%,-11.8%,8.7%,-7.3%,-9.8%,-5.8%,-5.4%,-19.4%,-9.1%,-4.9%
,Panel 5,,85.3%,,,129.0%,-14.0%,-55.8%,-10.8%,,-8.7%,-14.4%,,464.6%,,,75.8%,-9.5%,-82.4%,-90.0%,817.0%,641.7%,100.1%
,Panel 5,0.60,6.0%,28.0%,10.1%,5.7%,24.2%,14.9%,20.9%,19.5%,8.8%,3.3%,13.8%,9.1%,11.1%,6.0%,12.0%,10.7%,9.1%,10.7%,13.9%,7.7%,10.3%
,Panel 5,,2.2%,-24.4%,-11.4%,15.2%,16.2%,8.9%,-3.3%,-16.1%,4.0%,2.2%,-5.7%,-2.4%,-0.7%,1.0%,-4.7%,-4.5%,-9.9%,-5.3%,-0.5%,0.5%,0.7%
,Panel 5,,14.5%,-31.1%,11.4%,29.5%,27.1%,4.3%,-3.5%,-35.8%,15.7%,2.8%,-5.6%,-1.5%,15.8%,3.5%,3.5%,1.0%,-2.8%,6.4%,5.6%,15.9%,15.3%
,Panel 5,,41.5%,-9.7%,9.5%,100.7%,90.2%,122.0%,8.7%,-39.8%,60.9%,16.5%,47.3%,21.3%,38.0%,43.2%,23.7%,34.9%,13.9%,16.6%,8.6%,0.7%,8.6%
,Panel 5,,6.4%,-16.8%,-14.0%,30.4%,1.3%,-0.3%,0.4%,-38.4%,2.4%,20.4%,-2.9%,1.8%,-4.0%,7.2%,1.0%,6.2%,-2.3%,-1.0%,0.9%,-0.1%,2.0%
,Panel 5,,11.5%,17.9%,23.1%,3.6%,15.9%,-25.9%,31.4%,67.7%,3.5%,7.1%,8.2%,-13.0%,1.1%,6.1%,-1.6%,13.1%,-10.8%,5.7%,26.3%,12.7%,9.1%
,Panel 5,,0.3%,-37.5%,-19.4%,10.0%,3.3%,4.2%,0.3%,-48.8%,-3.4%,2.5%,-15.4%,-5.0%,-4.0%,-5.7%,-8.1%,-8.1%,-7.7%,-6.1%,-5.6%,-1.2%,-4.1%
,Panel 5,,4.7%,53.5%,75.8%,-7.2%,17.3%,3.7%,-23.9%,40.7%,11.7%,0.0%,10.6%,0.4%,-18.5%,7.9%,-13.7%,-22.5%,-44.4%,-28.7%,7.3%,-7.3%,11.6%
,Panel 5,,0.6%,-23.4%,-25.2%,5.8%,124.0%,159.3%,51.5%,63.8%,29.9%,27.5%,8.8%,-14.4%,17.7%,22.5%,2.9%,6.6%,1.4%,5.9%,17.2%,17.1%,-5.8%
,Panel 5,,71.5%,-36.1%,-60.2%,-37.8%,39.4%,-23.1%,-20.8%,103.2%,-31.1%,-7.9%,2.0%,-24.9%,6.0%,-10.9%,-6.5%,19.3%,-8.0%,55.3%,48.6%,-3.3%,23.7%
,Panel 5,,1.3%,-27.6%,-34.3%,56.5%,76.5%,-12.5%,-30.1%,-47.4%,13.9%,0.5%,10.4%,-0.4%,6.9%,10.9%,-4.1%,-12.1%,-25.4%,-24.5%,-8.5%,-2.1%,-2.7%
,Panel 5,,5.2%,-17.2%,-5.6%,12.7%,11.0%,14.7%,-6.7%,59.1%,4.2%,-3.6%,-2.9%,1.2%,-2.1%,1.0%,-4.9%,-5.5%,-10.8%,-6.2%,0.4%,-1.1%,1.9%
,Panel 5,0.63,0.0%,-23.6%,-14.4%,-30.7%,25.7%,-18.3%,9.5%,-13.1%,-0.4%,-2.9%,-6.2%,-9.4%,13.0%,-6.7%,-5.2%,3.1%,-8.1%,-5.7%,4.6%,-4.4%,1.7%
,Panel 5,,1.6%,16.4%,-1.8%,6.0%,7.7%,12.0%,-31.0%,73.1%,6.2%,-12.4%,-8.0%,-3.0%,-5.9%,73.1%,-5.2%,-5.6%,-6.6%,-7.6%,-8.5%,-8.9%,-11.6%
,Panel 5,,1.7%,16.7%,-26.3%,38.0%,1.8%,-11.2%,-49.7%,1161.0%,-1.7%,-12.1%,-5.6%,13.0%,-12.6%,1161.0%,-6.9%,-0.3%,2.5%,5.7%,3.6%,-3.1%,-2.7%
,Panel 5,,0.2%,,-61.6%,-64.0%,-65.9%,-59.6%,-66.2%,,-63.3%,-20.0%,-45.7%,-31.9%,-37.5%,,-42.9%,-34.9%,-45.1%,-45.4%,-44.4%,-36.1%,-24.9%
,Panel 5,,1.6%,13.4%,30.6%,-14.0%,42.7%,10.5%,-58.8%,1488.8%,11.3%,-22.0%,-20.2%,6.3%,-2.6%,1488.8%,-12.3%,-0.2%,-18.5%,-9.6%,-17.9%,-8.6%,-16.5%
,Panel 5,,3.7%,11.8%,-18.3%,42.2%,24.5%,-35.1%,-37.3%,-72.9%,0.9%,-15.9%,-2.6%,-8.4%,1.4%,-72.9%,-6.3%,-3.6%,-1.6%,-2.0%,5.1%,3.6%,-3.5%
,Panel 5,,6.4%,15.7%,98.6%,49.1%,73.9%,51.8%,-26.5%,5991.4%,56.7%,-6.1%,21.1%,16.2%,-8.1%,5991.4%,14.8%,1.1%,-4.1%,-13.3%,-14.9%,-14.5%,-19.1%
,Panel 5,,2.1%,19.3%,0.5%,0.2%,-1.8%,32.8%,-17.5%,29.6%,7.8%,-5.3%,-4.8%,-4.1%,-2.8%,29.6%,-0.7%,-4.7%,-1.7%,-6.8%,-9.8%,-11.2%,-12.6%
,Panel 5,,16.2%,,,,,,,,,,,,,,,,,-87.2%,-16.8%,-7.5%,-8.4%
,Panel 5,,11.7%,,-82.7%,-73.4%,-75.0%,-61.7%,-53.7%,,-70.7%,-48.3%,-20.7%,-21.7%,-32.5%,,-40.7%,-24.3%,-10.0%,-18.8%,-26.8%,-13.4%,-7.2%
,Panel 1,,3.4%,6.2%,-18.3%,-5.9%,-1.3%,18.1%,-9.6%,4.3%,1.1%,-6.0%,-1.8%,-4.4%,-5.2%,4.3%,-2.2%,-5.6%,0.0%,0.8%,0.6%,-2.4%,-3.1%
,Panel 5,1.15,0.6%,-10.0%,-10.9%,1.2%,-6.9%,29.0%,-13.4%,-16.4%,3.6%,-8.0%,-2.2%,-2.3%,-3.0%,-16.4%,-2.3%,-2.9%,1.0%,1.2%,0.5%,1.8%,-0.5%
,Panel 5,,0.2%,-6.5%,-32.5%,0.0%,-11.7%,-3.3%,-24.2%,-10.8%,-11.5%,-18.4%,-15.8%,-12.2%,-14.9%,-10.8%,-15.3%,-15.1%,-13.9%,-8.1%,-0.7%,-1.7%,-5.0%
,Panel 5,,49.6%,-24.7%,-42.3%,-31.6%,-48.2%,598.9%,48.9%,,9.1%,202.3%,-39.6%,-52.8%,-36.5%,,22.9%,-26.7%,41.4%,-0.7%,-9.6%,36.8%,4.9%
,Panel 5,,1.5%,-12.3%,-7.7%,4.0%,-5.0%,35.4%,-10.3%,-17.6%,6.7%,-5.5%,1.9%,1.1%,1.7%,-17.6%,1.0%,2.5%,5.6%,4.5%,2.7%,2.4%,2.8%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,-100.0%,-100.0%,-98.5%,-100.0%,-99.7%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,-100.0%
,Panel 5,,12.9%,-2.0%,-1.0%,-11.2%,-11.9%,31.1%,-16.4%,-18.0%,4.5%,-10.0%,-8.5%,-9.4%,-15.3%,-18.0%,-4.6%,-17.5%,-7.3%,-2.2%,-2.5%,9.1%,-5.4%
,Panel 1,0.79,3.4%,6.2%,-18.3%,-5.9%,-1.3%,18.1%,-9.6%,4.3%,1.1%,-6.0%,-1.8%,-4.4%,-5.2%,4.3%,-2.2%,-5.6%,0.0%,0.8%,0.6%,-2.4%,-3.1%
,Panel 1,,3.4%,6.2%,-18.3%,-5.9%,-1.3%,18.1%,-9.6%,4.3%,1.1%,-6.0%,-1.8%,-4.4%,-5.2%,4.3%,-2.2%,-5.6%,0.0%,0.8%,0.6%,-2.4%,-3.1%
,Panel 1,,16.2%,15.2%,-7.7%,-3.1%,-10.0%,13.0%,2.4%,13.3%,2.8%,0.7%,-7.9%,-14.9%,-14.1%,13.3%,-1.5%,-17.6%,-13.3%,-12.5%,-8.8%,-4.3%,-8.2%
,Panel 1,,0.3%,3.8%,-21.2%,-6.7%,1.3%,19.6%,-12.7%,1.8%,0.6%,-7.8%,-0.2%,-1.4%,-2.7%,1.8%,-2.4%,-2.1%,3.8%,4.7%,3.5%,-1.9%,-1.6%
,Panel 5,0.49,15.7%,16.7%,-26.7%,-2.4%,3.5%,63.5%,46.5%,-21.9%,10.6%,3.5%,7.5%,-20.1%,0.4%,-21.9%,6.8%,-8.9%,-9.4%,-5.2%,-13.9%,-1.3%,-4.2%
,Panel 5,,13.3%,164.6%,6.0%,90.3%,230.3%,-43.5%,-26.4%,43.2%,54.5%,-6.9%,38.8%,-21.6%,161.5%,43.2%,31.2%,17.9%,42.0%,25.5%,-22.5%,-3.3%,-23.5%
,Panel 5,,5.4%,-25.1%,-3.4%,-2.8%,-1.8%,0.9%,8.6%,,-3.0%,0.0%,-0.5%,0.8%,7.0%,,-1.1%,4.3%,3.3%,-0.7%,-2.2%,8.6%,9.3%
,Panel 5,,4.0%,-33.3%,-2.0%,-5.3%,-30.5%,-10.6%,2.6%,,-15.6%,-10.1%,-11.2%,-15.8%,-14.0%,,-12.3%,-16.2%,-17.2%,-24.4%,-42.9%,-49.8%,-51.6%
,Panel 5,,92.8%,38.4%,-7.9%,31.4%,52.7%,63.6%,169.0%,,32.6%,84.3%,35.6%,60.7%,241.2%,,47.5%,140.4%,214.2%,251.8%,189.1%,57.4%,23.5%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,-98.4%,
